name,type,data/description/value,data/description/chat,data/description/unidentified,data/source,data/activation/type,data/activation/cost,data/activation/condition,data/duration/value,data/duration/units,data/target/value,data/target/units,data/target/type,data/range/value,data/range/long,data/range/units,data/uses/value,data/uses/max,data/uses/per,data/consume/type,data/consume/target,data/consume/amount,data/ability,data/actionType,data/attackBonus,data/chatFlavor,data/critical,data/damage/versatile,data/formula,data/save/ability,data/save/dc,data/save/scaling,data/level,data/school,data/components/value,data/components/vocal,data/components/somatic,data/components/material,data/components/ritual,data/components/concentration,data/materials/value,data/materials/consumed,data/materials/cost,data/materials/supply,data/preparation/mode,data/preparation/prepared,data/scaling/mode,data/scaling/formula,data/img
Scatter,spell,<p>The air quivers around up to five creatures of your choice that you can see within range. An unwilling creature must succeed on a Wisdom saving throw to resist this spell. You teleport each affected target to an unoccupied space that you can see within 120 feet of you. That space must be on the ground or on a floor.</p> ,,,Rapazeada,action,1,,inst,,,,,9,,ft,0,0,,,,,,,0,,,,,,,spell,6,con,,true,false,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Sanctuary,spell,"<p>You ward a creature within range against attack. Until the spell ends, any creature who targets the warded creature with an attack or a harmful spell must first make a Wisdom saving throw. On a failed save, the creature must choose a new target or lose the attack or spell. This spell doesn’t protect the warded creature from area effects, such as the explosion of a fireball.</p><p>If the warded creature makes an attack, casts a spell that affects an enemy, or deals damage to another creature, this spell ends.</p> ",,,Rapazeada,bonus,1,,minute,1,,,,9,,ft,0,0,,,,,,,0,,,,,,,spell,1,abj,,true,true,true,false,false,a small silver mirror,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Sacred Flame,spell,<p>Flame-like radiance descends on a creature that you can see within range. The target must succeed on a Dexterity saving throw or take 1d8 radiant damage. The target gains no benefit from cover for this saving throw.</p> ,,,Rapazeada,action,1,,inst,,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,0,evo,,true,true,false,false,false,,false,0,,prepared,true,cantrip,,assets/Icons/Trade/EssenceEternalSmall.png
Rope Trick,spell,"<p>You touch a length of rope that is up to 60 feet long. One end of the rope then rises into the air until the whole rope hangs perpendicular to the ground. At the upper end of the rope, an invisible entrance opens to an extradimensional space that lasts until the spell ends.</p><p>The extradimensional space can be reached by climbing to the top of the rope. The space can hold as many as eight Medium or smaller creatures. The rope can be pulled into the space, making the rope disappear from view outside the space.</p><p>Attacks and spells can’t cross through the entrance into or out of the extradimensional space, but those inside can see out of it as if through a 3-foot-by-5- foot window centered on the rope.</p><p>Anything inside the extradimensional space drops out when the spell ends.</p> ",,,Rapazeada,action,1,,hour,1,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,2,trs,,true,true,true,false,false,powdered corn extract and a twisted loop of parchment,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Revivify,spell,"<p>You touch a creature that has died within the last minute. That creature returns to life with 1 hit point. This spell can’t return to life a creature that has died of old age, nor can it restore any missing body parts.</p> ",,,Rapazeada,action,1,,inst,,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,3,nec,,true,true,true,false,false,"diamonds worth 300 gp, which the spell consumes",true,300,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Reverse Gravity,spell,"<p>This spell reverses gravity in a 50-foot-radius, 100- foot high cylinder centered on a point within range. All creatures and objects that aren’t somehow anchored to the ground in the area fall upward and reach the top of the area when you cast this spell. A creature can make a Dexterity saving throw to grab onto a fixed object it can reach, thus avoiding the fall.</p><p>If some solid object (such as a ceiling) is encountered in this fall, falling objects and creatures strike it just as they would during a normal downward fall. If an object or creature reaches the top of the area without striking anything, it remains there, oscillating slightly, for the duration.</p><p>At the end of the duration, affected objects and creatures fall back down.</p> ",,,Rapazeada,action,1,,minute,1,,,,30,,ft,0,0,,,,,,,0,,,,,,,spell,7,trs,,true,true,true,false,true,a lodestone and iron filings,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Resurrection,spell,"<p>You touch a dead creature that has been dead for no more than a century, that didn’t die of old age, and that isn’t undead. If its soul is free and willing, the target returns to life with all its hit points.</p><p>This spell neutralizes any poisons and cures normal diseases afflicting the creature when it died. It doesn’t, however, remove magical diseases, curses, and the like; if such effects aren’t removed prior to casting the spell, they afflict the target on its return to life.</p><p>This spell closes all mortal wounds and restores any missing body parts.</p><p>Coming back from the dead is an ordeal. The target takes a −4 penalty to all attack rolls, saving throws, and ability checks. Every time the target finishes a long rest, the penalty is reduced by 1 until it disappears.</p><p>Casting this spell to restore life to a creature that has been dead for one year or longer taxes you greatly. Until you finish a long rest, you can’t cast spells again, and you have disadvantage on all attack rolls, ability checks, and saving throws.</p> ",,,Rapazeada,hour,1,,inst,,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,7,nec,,true,true,true,false,false,"a diamond worth at least 1,000 gp, which the spell consumes",true,1000,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Resistance,spell,"<p>You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one saving throw of its choice. It can roll the die before or after making the saving throw. The spell then ends.</p> ",,,Rapazeada,action,1,,minute,1,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,0,abj,,true,true,true,false,true,a miniature cloak,false,0,,prepared,true,cantrip,,assets/Icons/Trade/EssenceEternalSmall.png
Remove Curse,spell,"<p>At your touch, all curses affecting one creature or object end. If the object is a cursed magic item, its curse remains, but the spell breaks its owner’s attunement to the object so it can be removed or discarded.</p> ",,,Rapazeada,action,1,,inst,,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,3,abj,,true,true,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Reicarnate,spell,"<p>You touch a dead humanoid or a piece of a dead humanoid. Provided that the creature has been dead no longer than 10 days, the spell forms a new adult body for it and then calls the soul to enter that body. If the target’s soul isn’t free or willing to do so, the spell fails.</p><p>The magic fashions a new body for the creature to inhabit, which likely causes the creature’s race to change. The GM rolls a d100 and consults the following table to determine what form the creature takes when restored to life, or the GM chooses a form.</p><ul><li><strong>01-04.</strong> Dragonborn</li><li><strong>05-13.</strong> Dwarf, hill</li><li><strong>14-21.</strong> Dwarf, mountain</li><li><strong>22-25.</strong> Elf, dark</li><li><strong>26-34.</strong> Elf, high</li><li><strong>35-42.</strong> Elf, wood</li><li><strong>43-46</strong><strong>.</strong> Gnome, forest</li><li><strong>47-52. </strong>Gnome, rock</li><li><strong>53-56.</strong> Half-elf</li><li><strong>57-60.</strong> Half-orc</li><li><strong>61-68.</strong> Halfling, lightfoot</li><li><strong>69-76.</strong> Halfling, stout</li><li><strong>77-96.</strong> Human</li><li><strong>97-100.</strong> Tiefling</li></ul><p>The reincarnated creature recalls its former life and experiences. It retains the capabilities it had in its original form, except it exchanges its original race for the new one and changes its racial traits accordingly.</p> ",,,Rapazeada,hour,1,,inst,,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,5,trs,,true,true,true,false,false,"rare oils and unguents worth at least 1,000 gp, which the spell consumes",true,1000,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Regenerate,spell,"<p>You touch a creature and stimulate its natural healing ability. The target regains 4d8 + 15 hit points. For the duration of the spell, the target regains 1 hit point at the start of each of its turns (10 hit points each minute).</p><p>The target’s severed body members (fingers, legs, tails, and so on), if any, are restored after 2 minutes. If you have the severed part and hold it to the stump, the spell instantaneously causes the limb to knit to the stump.</p> ",,,Rapazeada,minute,1,,hour,1,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,7,trs,,true,true,true,false,false,a prayer wheel and holy water,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Ray of Sickness,spell,"<p>A ray of sickening greenish energy lashes out toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 2d8 poison damage and must make a Constitution saving throw. On a failed save, it is also poisoned until the end of your next turn.</p> ",,,Rapazeada,action,1,,inst,,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,1,nec,,true,true,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Ray of Frost,spell,"<p>A frigid beam of blue-white light streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 1d8 cold damage, and its speed is reduced by 10 feet until the start of your next turn.</p> ",,,Rapazeada,action,1,,inst,,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,0,evo,,true,true,false,false,false,,false,0,,prepared,true,cantrip,,assets/Icons/Trade/EssenceEternalSmall.png
Ray of Enfeeblement,spell,"<p>A black beam of enervating energy springs from your finger toward a creature within range. Make a ranged spell attack against the target. On a hit, the target deals only half damage with weapon attacks that use Strength until the spell ends.</p><p>At the end of each of the target’s turns, it can make a Constitution saving throw against the spell. On a success, the spell ends.</p> ",,,Rapazeada,action,1,,minute,1,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,2,nec,,true,true,false,false,true,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Rary’s Telepathic Bond,spell,"<p>You forge a telepathic link among up to eight willing creatures of your choice within range, psychically linking each creature to all the others for the duration. Creatures with Intelligence scores of 2 or less aren’t affected by this spell.</p><p>Until the spell ends, the targets can communicate telepathically through the bond whether or not they have a common language. The communication is possible over any distance, though it can’t extend to other planes of existence.</p> ",,,Rapazeada,action,1,,hour,1,,,,9,,ft,0,0,,,,,,,0,,,,,,,spell,5,div,,true,true,true,true,false,pieces of eggshell from two different kinds of creatures,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Raise Dead,spell,"<p>You return a dead creature you touch to life, provided that it has been dead no longer than 10 days. If the creature’s soul is both willing and at liberty to rejoin the body, the creature returns to life with 1 hit point.</p><p>This spell also neutralizes any poisons and cures nonmagical diseases that affected the creature at the time it died. This spell doesn’t, however, remove magical diseases, curses, or similar effects; if these aren’t first removed prior to casting the spell, they take effect when the creature returns to life. The spell can’t return an undead creature to life.</p><p>This spell closes all mortal wounds, but it doesn’t restore missing body parts. If the creature is lacking body parts or organs integral for its survival–its head, for instance–the spell automatically fails.</p><p>Coming back from the dead is an ordeal. The target takes a −4 penalty to all attack rolls, saving throws, and ability checks. Every time the target finishes a long rest, the penalty is reduced by 1 until it disappears.</p> ",,,Rapazeada,action,1,,inst,,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,5,con,,true,true,true,false,false,"a diamond worth at least 500 gp, which the spell consumes",true,500,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Pyrotechnics,spell,"<p>Choose an area of nonmagical flame that you can see and that fits within a 5-foot cube within range. You can extinguish the fire in that area, and you create either fireworks or smoke when you do so.</p><ul><li><strong>Fireworks.</strong> The target explodes with a dazzling display of colors. Each creature within 10 feet of the target must succeed on a Constitution saving throw or become blinded until the end of your next turn.</li><li><strong>Smoke.</strong> Thick black smoke spreads out from the target in a 20-foot radius, moving around corners. The area of the smoke is heavily obscured. The smoke persists for 1 minute or until a strong wind disperses it.</li></ul> ",,,Rapazeada,action,1,,inst,,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,2,trs,,true,true,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Purify Food and Drink,spell,<p>All nonmagical food and drink within a 5-foot-radius sphere centered on a point of your choice within range is purified and rendered free of poison and disease.</p> ,,,Rapazeada,action,1,,inst,,,,,3,,ft,0,0,,,,,,,0,,,,,,,spell,1,trs,,true,true,false,true,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Psychic Scream,spell,"<p>You unleash the power of your mind to blast the intellect of up to ten creatures of your choice that you can see within range. Creatures that have an Intelligence score of 2 or lower are unaffected.</p><p>Each target must make an Intelligence saving throw. On a failed save, a target takes 14d6 psychic damage and is stunned. On a successful save, a target takes half as much damage and isn’t stunned. If a target is killed by this damage, its head explodes, assuming it has one.</p><p>A stunned target can make an Intelligence saving throw at the end of each of its turns. On a successful save, the stunning effect ends.</p> ",,,Rapazeada,action,1,,inst,,,,,27,,ft,0,0,,,,,,,0,,,,,,,spell,9,enc,,false,true,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Protection from Poison,spell,"<p>You touch a creature. If it is poisoned, you neutralize the poison. If more than one poison afflicts the target, you neutralize one poison that you know is present, or you neutralize one at random.</p><p>For the duration, the target has advantage on saving throws against being poisoned, and it has resistance to poison damage.</p> ",,,Rapazeada,action,1,,hour,1,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,2,abj,,true,true,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Protection from Evil and Good,spell,"<p>Until the spell ends, one willing creature you touch is protected against certain types of creatures:aberrations, celestials, elementals, fey, fiends, and undead.</p><p>The protection grants several benefits. Creatures of those types have disadvantage on attack rolls against the target. The target also can’t be charmed, frightened, or possessed by them. If the target is already charmed, frightened, or possessed by such a creature, the target has advantage on any new saving throw against the relevant effect.</p> ",,,Rapazeada,action,1,,minute,10,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,1,abj,,true,true,true,false,true,"holy water or powdered silver and iron, which the spell consumes",true,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Protection from Energy,spell,"<p>For the duration, the willing creature you touch has resistance to one damage type of your choice:acid, cold, fire, lightning, or thunder.</p> ",,,Rapazeada,action,1,,hour,1,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,3,abj,,true,true,false,false,true,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Project Image,spell,"<p>You create an illusory copy of yourself that lasts for the duration. The copy can appear at any location within range that you have seen before, regardless of intervening obstacles. The illusion looks and sounds like you but is intangible. If the illusion takes any damage, it disappears, and the spell ends.</p><p>You can use your action to move this illusion up to twice your speed, and make it gesture, speak, and behave in whatever way you choose. It mimics your mannerisms perfectly.</p><p>You can see through its eyes and hear through its ears as if you were in its space. On your turn as a bonus action, you can switch from using its senses to using your own, or back again. While you are using its senses, you are blinded and deafened in regard to your own surroundings.</p><p>Physical interaction with the image reveals it to be an illusion, because things can pass through it. A creature that uses its action to examine the image can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the creature can see through the image, and any noise it makes sounds hollow to the creature.</p> ",,,Rapazeada,action,1,,day,1,,,,800,,mi,0,0,,,,,,,0,,,,,,,spell,7,ill,,true,true,true,false,true,a small replica of you made from materials worth at least 5 gp,false,5,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Programmed Illusion,spell,"<p>You create an illusion of an object, a creature, or some other visible phenomenon within range that activates when a specific condition occurs. The illusion is imperceptible until then. It must be no larger than a 30-foot cube, and you decide when you cast the spell how the illusion behaves and what sounds it makes. This scripted performance can last up to 5 minutes.</p><p>When the condition you specify occurs, the illusion springs into existence and performs in the manner you described. Once the illusion finishes performing, it disappears and remains dormant for 10 minutes. After this time, the illusion can be activated again.</p><p>The triggering condition can be as general or as detailed as you like, though it must be based on visual or audible conditions that occur within 30 feet of the area. For example, you could create an illusion of yourself to appear and warn off others who attempt to open a trapped door, or you could set the illusion to trigger only when a creature says the correct word or phrase.</p><p>Physical interaction with the image reveals it to be an illusion, because things can pass through it. A creature that uses its action to examine the image can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the creature can see through the image, and any noise it makes sounds hollow to the creature.</p> ",,,Rapazeada,action,1,,special,,,,,36,,ft,0,0,,,,,,,0,,,,,,,spell,6,ill,,true,true,true,false,false,a bit of fleece and jade dust worth at least 25 gp,false,25,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Produce Flames,spell,"<p>A flickering flame appears in your hand. The flame remains there for the duration and harms neither you nor your equipment. The flame sheds bright light in a 10-foot radius and dim light for an additional 10 feet. The spell ends if you dismiss it as an action or if you cast it again.</p><p>You can also attack with the flame, although doing so ends the spell. When you cast this spell, or as an action on a later turn, you can hurl the flame at a creature within 30 feet of you. Make a ranged spell attack. On a hit, the target takes 1d8 fire damage.</p> ",,,Rapazeada,action,1,,minute,10,,,,,,self,0,0,,,,,,,0,,,,,,,spell,0,con,,true,true,false,false,false,,false,0,,prepared,true,cantrip,,assets/Icons/Trade/EssenceEternalSmall.png
Prismatic Wall,spell,"<p>A shimmering, multicolored plane of light forms a vertical opaque wall–up to 90 feet long, 30 feet high, and 1 inch thick–centered on a point you can see within range. Alternatively, you can shape the wall into a sphere up to 30 feet in diameter centered on a point you choose within range. The wall remains in place for the duration. If you position the wall so that it passes through a space occupied by a creature, the spell fails, and your action and the spell slot are wasted.</p><p>The wall sheds bright light out to a range of 100 feet and dim light for an additional 100 feet. You and creatures you designate at the time you cast the spell can pass through and remain near the wall without harm. If another creature that can see the wall moves to within 20 feet of it or starts its turn there, the creature must succeed on a Constitution saving throw or become blinded for 1 minute.</p><p>The wall consists of seven layers, each with a different color. When a creature attempts to reach into or pass through the wall, it does so one layer at a time through all the wall’s layers. As it passes or reaches through each layer, the creature must make a Dexterity saving throw or be affected by that layer’s properties as described below.</p><p>The wall can be destroyed, also one layer at a time, in order from red to violet, by means specific to each layer. Once a layer is destroyed, it remains so for the duration of the spell. Antimagic field has no effect on the wall, and dispel magic can affect only the violet layer.</p><ul><li><strong>1. Red.</strong> The creature takes 10d6 fire damage on a failed save, or half as much damage on a successful one. While this layer is in place, nonmagical ranged attacks can’t pass through the wall. The layer can be destroyed by dealing at least 25 cold damage to it.</li><li><strong>2. Orange.</strong> The creature takes 10d6 acid damage on a failed save, or half as much damage on a successful one. While this layer is in place, magical ranged attacks can’t pass through the wall. The layer is destroyed by a strong wind.</li><li><strong>3. Yellow.</strong> The creature takes 10d6 lightning damage on a failed save, or half as much damage on a successful one. This layer can be destroyed by dealing at least 60 force damage to it.</li><li><strong>4. Green.</strong> The creature takes 10d6 poison damage on a failed save, or half as much damage on a successful one. A passwall spell, or another spell of equal or greater level that can open a portal on a solid surface, destroys this layer.</li><li><strong>5. Blue.</strong> The creature takes 10d6 cold damage on a failed save, or half as much damage on a successful one. This layer can be destroyed by dealing at least 25 fire damage to it.</li><li><strong>6. Indigo.</strong> On a failed save, the creature is restrained. It must then make a Constitution saving throw at the end of each of its turns. If it successfully saves three times, the spell ends. If it fails its save three times, it permanently turns to stone and is subjected to the petrified condition. The successes and failures don’t need to be consecutive; keep track of both until the creature collects three of a kind. While this layer is in place, spells can’t be cast through the wall. The layer is destroyed by bright light shed by a daylight spell or a similar spell of equal or higher level.</li><li><strong>7. Violet.</strong> On a failed save, the creature is blinded. It must then make a Wisdom saving throw at the start of your next turn. A successful save ends the blindness. If it fails that save, the creature is transported to another plane of the GM’s choosing and is no longer blinded. (Typically, a creature that is on a plane that isn’t its home plane is banished home, while other creatures are usually cast into the Astral or Ethereal planes.) This layer is destroyed by a dispel magic spell or a similar spell of equal or higher level that can end spells and magical effects.</li></ul> ",,,Rapazeada,action,1,,minute,10,,,,18,,ft,0,0,,,,,,,0,,,,,,,spell,9,abj,,true,true,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
